President	B-per
Karzai	I-per
thanked	O
his	O
allies	O
for	O
their	O
help	O
in	O
battling	O
terrorism	O
.	O
The	O
commander	O
of	O
NATO	B-org
's	O
Afghan	B-gpe
force	O
,	O
British	B-org
General	I-org
David	B-per
Richards	I-per
,	O
said	O
the	O
unity	O
of	O
command	O
the	O
transfer	O
brought	O
will	O
enhance	O
the	O
effectiveness	O
of	O
the	O
overall	O
operation	O
.	O
Referring	O
to	O
the	O
fight	O
in	O
southern	B-geo
Afghanistan	I-geo
since	O
NATO	B-org
took	O
command	O
there	O
in	O
July	B-time
,	O
Richards	B-per
said	O
the	O
NATO	B-org
force	O
has	O
shown	O
its	O
resolve	O
to	O
meet	O
the	O
challenges	O
of	O
its	O
expanded	O
mission	O
.	O
Richards	B-per
was	O
promoted	O
to	O
four-star	O
general	O
hours	O
before	O
the	O
command	O
change	O
.	O
Burma	B-geo
's	O
military	O
government	O
said	O
today	B-time
that	O
ex-Prime	O
Minister	B-per
Khin	I-per
Nyunt	I-per
was	O
ousted	O
last	O
month	O
because	O
his	O
investigations	O
of	O
military	O
commanders	O
threatened	O
the	O
unity	O
of	O
the	O
armed	O
forces	O
.	O
State-controlled	O
newspapers	O
on	O
Sunday	B-time
published	O
a	O
speech	O
delivered	O
October	B-time
24	I-time
by	O
ruling	O
council	O
member	O
General	B-org
Thura	I-org
Shwe	I-org
Mahn	I-org
,	O
who	O
said	O
Khin	B-per
Nyunt	I-per
began	O
investigating	O
rival	O
officers	O
after	O
being	O
told	O
he	O
would	O
be	O
replaced	O
as	O
military	O
intelligence	O
chief	O
.	O
Thura	B-org
Shwe	I-org
Mahn	I-org
said	O
those	O
actions	O
posed	O
a	O
serious	O
threat	O
to	O
the	O
unity	O
of	O
the	O
military	O
and	O
the	O
nation	O
.	O
He	O
also	O
told	O
businessmen	O
with	O
connections	O
to	O
Khin	B-per
Nyunt	I-per
to	O
disclose	O
that	O
information	O
to	O
the	O
ruling	O
council	O
.	O
The	O
former	O
prime	O
minister	O
was	O
replaced	O
October	B-time
19	I-time
by	O
hardliner	O
Lieutenant	O
General	B-org
Soe	I-org
Win	I-org
.	O
The	O
change	O
in	O
leaders	O
is	O
believed	O
to	O
be	O
indicative	O
of	O
deep	O
divisions	O
within	O
the	O
government	O
.	O
A	O
new	O
report	O
says	O
nearly	O
4	O
people	O
have	O
been	O
killed	O
in	O
fighting	O
in	O
Afghanistan	B-time
this	O
year	O
.	O
The	O
Joint	B-org
Coordination	I-org
and	I-org
Monitoring	I-org
Board	I-org
Monday	B-time
,	O
says	O
insurgent	O
violence	O
has	O
killed	O
3700	O
people	O
so	O
far	O
this	O
year	O
,	O
most	O
of	O
them	O
rebels	O
.	O
The	O
report	O
also	O
says	O
militants	O
launch	O
about	O
600	O
attacks	O
a	O
month	O
,	O
four	O
times	O
higher	O
than	O
last	O
year	O
's	O
monthly	O
average	O
.	O
The	O
monitoring	O
board	O
is	O
comprised	O
of	O
Afghan	B-gpe
and	O
international	O
representatives	O
,	O
including	O
the	O
United	B-org
Nations	I-org
.	O
The	O
report	O
comes	O
as	O
Afghan	B-gpe
officials	O
announced	O
that	O
the	O
bodies	O
of	O
20	O
Taleban	B-org
militants	O
had	O
been	O
recovered	O
from	O
Bermel	B-geo
district	O
in	O
Paktika	B-geo
province	O
,	O
where	O
